project, method, run, precision
google-auto-common, orig, 0, 83.1
google-auto-common, orig, 1, 83.9
google-auto-common, orig, 2, 83.1
google-auto-common, orig, 3, 84.2
google-auto-common, orig, 4, 83.5
google-auto-common, orig, 5, 83.8
google-auto-common, orig, 6, 84.5
google-auto-common, orig, 7, 85.1
google-auto-common, orig, 8, 83.3
google-auto-common, orig, 9, 84.4
google-auto-common, orig, 10, 82.9
google-auto-common, orig, 11, 82.4
google-auto-common, orig, 12, 84.2
google-auto-common, orig, 13, 84.2
google-auto-common, orig, 14, 83.2
google-auto-common, orig, 15, 83.6
google-auto-common, orig, 16, 83.2
google-auto-common, orig, 17, 83.6
google-auto-common, orig, 18, 83.8
google-auto-common, orig, 19, 83.2
google-auto-common, orig, 20, 83.3
google-auto-common, orig, 21, 84.6
google-auto-common, orig, 22, 82.3
google-auto-common, orig, 23, 83.8
google-auto-common, orig, 24, 84.0
google-auto-common, orig, 25, 82.0
google-auto-common, orig, 26, 82.0
google-auto-common, orig, 27, 83.5
google-auto-common, orig, 28, 83.5
google-auto-common, orig, 29, 84.2
google-auto-common, cs, 0, 78.2
google-auto-common, pp, 0, 84.7
google-auto-common, pp, 1, 85.1
google-auto-common, pp, 2, 84.9
google-auto-common, pp, 3, 85.5
google-auto-common, pp, 4, 84.0
google-auto-common, pp, 5, 84.9
google-auto-common, pp, 6, 85.5
google-auto-common, pp, 7, 85.1
google-auto-common, pp, 8, 84.8
google-auto-common, pp, 9, 84.8
google-auto-common, pp, 10, 84.8
google-auto-common, pp, 11, 84.7
google-auto-common, pp, 12, 85.3
google-auto-common, pp, 13, 85.2
google-auto-common, pp, 14, 84.7
google-auto-common, pp, 15, 84.2
google-auto-common, pp, 16, 84.7
google-auto-common, pp, 17, 84.0
google-auto-common, pp, 18, 85.3
google-auto-common, pp, 19, 84.7
google-auto-common, pp, 20, 84.6
google-auto-common, pp, 21, 85.4
google-auto-common, pp, 22, 83.5
google-auto-common, pp, 23, 84.5
google-auto-common, pp, 24, 84.8
google-auto-common, pp, 25, 84.2
google-auto-common, pp, 26, 84.5
google-auto-common, pp, 27, 85.8
google-auto-common, pp, 28, 85.2
google-auto-common, pp, 29, 85.3
google-auto-common, cs+pp, 0, 81.8
scribejava-core, orig, 0, 89.5
scribejava-core, orig, 1, 89.9
scribejava-core, orig, 2, 89.7
scribejava-core, orig, 3, 89.5
scribejava-core, orig, 4, 88.8
scribejava-core, orig, 5, 89.8
scribejava-core, orig, 6, 89.6
scribejava-core, orig, 7, 89.7
scribejava-core, orig, 8, 90.2
scribejava-core, orig, 9, 89.9
scribejava-core, orig, 10, 89.8
scribejava-core, orig, 11, 89.8
scribejava-core, orig, 12, 89.8
scribejava-core, orig, 13, 90.5
scribejava-core, orig, 14, 89.3
scribejava-core, orig, 15, 89.7
scribejava-core, orig, 16, 89.8
scribejava-core, orig, 17, 90.1
scribejava-core, orig, 18, 89.7
scribejava-core, orig, 19, 89.6
scribejava-core, orig, 20, 89.4
scribejava-core, orig, 21, 90.0
scribejava-core, orig, 22, 89.0
scribejava-core, orig, 23, 89.5
scribejava-core, orig, 24, 89.7
scribejava-core, orig, 25, 89.3
scribejava-core, orig, 26, 89.5
