project, method, run, precision
google-auto-common, orig, 0, 88.5
google-auto-common, orig, 1, 89.0
google-auto-common, orig, 2, 88.6
google-auto-common, orig, 3, 89.1
google-auto-common, orig, 4, 88.2
google-auto-common, orig, 5, 88.4
google-auto-common, orig, 6, 89.1
google-auto-common, orig, 7, 88.6
google-auto-common, orig, 8, 88.8
google-auto-common, orig, 9, 88.8
google-auto-common, orig, 10, 89.0
google-auto-common, orig, 11, 88.9
google-auto-common, orig, 12, 88.5
google-auto-common, orig, 13, 88.9
google-auto-common, orig, 14, 88.5
google-auto-common, orig, 15, 88.5
google-auto-common, orig, 16, 88.5
google-auto-common, orig, 17, 88.8
google-auto-common, orig, 18, 89.1
google-auto-common, orig, 19, 88.3
google-auto-common, orig, 20, 88.7
google-auto-common, orig, 21, 88.8
google-auto-common, orig, 22, 88.7
google-auto-common, orig, 23, 88.5
google-auto-common, orig, 24, 88.5
google-auto-common, orig, 25, 88.5
google-auto-common, orig, 26, 88.9
google-auto-common, orig, 27, 89.1
google-auto-common, orig, 28, 88.5
google-auto-common, orig, 29, 88.4
google-auto-common, cs, 0, 88.7
google-auto-common, pp, 0, 89.9
google-auto-common, pp, 1, 90.4
google-auto-common, pp, 2, 90.1
google-auto-common, pp, 3, 90.3
google-auto-common, pp, 4, 90.0
google-auto-common, pp, 5, 90.3
google-auto-common, pp, 6, 90.3
google-auto-common, pp, 7, 90.3
google-auto-common, pp, 8, 90.5
google-auto-common, pp, 9, 90.5
google-auto-common, pp, 10, 90.2
google-auto-common, pp, 11, 90.2
google-auto-common, pp, 12, 90.4
google-auto-common, pp, 13, 90.6
google-auto-common, pp, 14, 90.0
google-auto-common, pp, 15, 90.0
google-auto-common, pp, 16, 90.4
google-auto-common, pp, 17, 90.5
google-auto-common, pp, 18, 90.3
google-auto-common, pp, 19, 89.9
google-auto-common, pp, 20, 90.1
google-auto-common, pp, 21, 90.0
google-auto-common, pp, 22, 89.8
google-auto-common, pp, 23, 90.0
google-auto-common, pp, 24, 90.3
google-auto-common, pp, 25, 89.9
google-auto-common, pp, 26, 90.2
google-auto-common, pp, 27, 90.3
google-auto-common, pp, 28, 90.5
google-auto-common, pp, 29, 89.9
google-auto-common, cs+pp, 0, 90.4
scribejava-core, orig, 0, 93.5
scribejava-core, orig, 1, 94.0
scribejava-core, orig, 2, 93.6
scribejava-core, orig, 3, 93.8
scribejava-core, orig, 4, 93.7
