project, method, run, precision
commons-io, pp, 19, 78.5
commons-io, pp, 20, 77.9
commons-io, pp, 21, 78.3
commons-io, pp, 22, 78.0
commons-io, pp, 23, 77.7
commons-io, pp, 24, 78.3
commons-io, pp, 25, 77.9
commons-io, pp, 26, 77.6
commons-io, pp, 27, 78.6
commons-io, pp, 28, 78.3
commons-io, pp, 29, 78.5
commons-io, cs+pp, 0, 79.3
commons-text, orig, 0, 78.9
commons-text, orig, 1, 79.1
commons-text, orig, 2, 78.7
commons-text, orig, 3, 78.5
commons-text, orig, 4, 79.2
commons-text, orig, 5, 79.2
commons-text, orig, 6, 78.1
commons-text, orig, 7, 78.7
commons-text, orig, 8, 78.8
commons-text, orig, 9, 78.4
commons-text, orig, 10, 79.2
commons-text, orig, 11, 78.1
commons-text, orig, 12, 78.9
commons-text, orig, 13, 79.4
commons-text, orig, 14, 79.2
commons-text, orig, 15, 78.6
commons-text, orig, 16, 79.5
commons-text, orig, 17, 79.4
commons-text, orig, 18, 79.0
commons-text, orig, 19, 78.9
commons-text, orig, 20, 78.8
commons-text, orig, 21, 78.8
commons-text, orig, 22, 78.7
commons-text, orig, 23, 78.6
commons-text, orig, 24, 78.9
commons-text, orig, 25, 78.5
commons-text, orig, 26, 78.9
commons-text, orig, 27, 78.7
commons-text, orig, 28, 79.1
commons-text, orig, 29, 79.0
commons-text, cs, 0, 78.6
commons-text, pp, 0, 78.7
commons-text, pp, 1, 78.3
commons-text, pp, 2, 79.7
commons-text, pp, 3, 77.7
commons-text, pp, 4, 78.5
commons-text, pp, 5, 78.8
commons-text, pp, 6, 78.3
commons-text, pp, 7, 78.2
commons-text, pp, 8, 79.2
commons-text, pp, 9, 78.6
commons-text, pp, 10, 78.8
commons-text, pp, 11, 78.8
commons-text, pp, 12, 79.3
commons-text, pp, 13, 78.9
commons-text, pp, 14, 78.9
commons-text, pp, 15, 79.3
commons-text, pp, 16, 78.3
commons-text, pp, 17, 78.7
commons-text, pp, 18, 79.4
commons-text, pp, 19, 79.1
commons-text, pp, 20, 79.1
commons-text, pp, 21, 79.0
commons-text, pp, 22, 79.3
commons-text, pp, 23, 79.1
commons-text, pp, 24, 78.2
commons-text, pp, 25, 78.3
