project, 0.1, 0.25, 0.5
a-common, -2.00, -2.00, 1.00
scribejava, 2.00, -1.00, -2.00
a-factory, -2.00, -2.00, 2.00
c-csv, -2.00, -2.00, -2.00
c-cli, -2.00, -2.00, -2.00
a-value, -2.00, -2.00, -2.00
gson, 2.00, -2.00, -2.00
c-io, 2.00, -2.00, -2.00
c-text, -2.00, -2.00, -2.00
c-codec, 2.00, -2.00, -2.00
