project, method, run, precision
google-auto-value, orig, 0, 92.1
google-auto-value, orig, 1, 92.2
google-auto-value, orig, 2, 92.0
google-auto-value, orig, 3, 92.1
google-auto-value, orig, 4, 92.2
google-auto-value, orig, 5, 92.2
google-auto-value, orig, 6, 92.1
google-auto-value, orig, 7, 92.0
google-auto-value, orig, 8, 92.1
google-auto-value, orig, 9, 92.1
google-auto-value, orig, 10, 92.2
google-auto-value, orig, 11, 92.2
google-auto-value, orig, 12, 92.2
google-auto-value, orig, 13, 92.1
google-auto-value, orig, 14, 92.1
google-auto-value, orig, 15, 92.1
google-auto-value, orig, 16, 92.3
google-auto-value, orig, 17, 92.1
google-auto-value, orig, 18, 92.2
google-auto-value, orig, 19, 92.1
google-auto-value, orig, 20, 92.0
google-auto-value, orig, 21, 92.0
google-auto-value, orig, 22, 92.2
google-auto-value, orig, 23, 92.1
google-auto-value, orig, 24, 92.1
google-auto-value, orig, 25, 92.1
google-auto-value, orig, 26, 92.0
google-auto-value, orig, 27, 92.1
google-auto-value, orig, 28, 92.2
google-auto-value, orig, 29, 92.1
google-auto-value, cs, 0, 92.0
google-auto-value, pp, 0, 92.5
google-auto-value, pp, 1, 92.7
google-auto-value, pp, 2, 92.5
google-auto-value, pp, 3, 92.7
google-auto-value, pp, 4, 92.7
google-auto-value, pp, 5, 92.8
google-auto-value, pp, 6, 92.7
google-auto-value, pp, 7, 92.8
google-auto-value, pp, 8, 92.6
google-auto-value, pp, 9, 92.6
google-auto-value, pp, 10, 92.7
google-auto-value, pp, 11, 92.6
google-auto-value, pp, 12, 92.8
google-auto-value, pp, 13, 92.6
google-auto-value, pp, 14, 92.7
google-auto-value, pp, 15, 92.8
google-auto-value, pp, 16, 92.8
google-auto-value, pp, 17, 92.6
google-auto-value, pp, 18, 92.7
google-auto-value, pp, 19, 92.6
google-auto-value, pp, 20, 92.4
google-auto-value, pp, 21, 92.5
google-auto-value, pp, 22, 92.6
google-auto-value, pp, 23, 92.7
google-auto-value, pp, 24, 92.8
google-auto-value, pp, 25, 92.5
google-auto-value, pp, 26, 92.5
google-auto-value, pp, 27, 92.7
google-auto-value, pp, 28, 92.5
google-auto-value, pp, 29, 92.4
google-auto-value, cs+pp, 0, 92.8
gson, orig, 0, 90.1
gson, orig, 1, 90.1
gson, orig, 2, 90.0
gson, orig, 3, 90.0
gson, orig, 4, 90.0
gson, orig, 5, 90.0
gson, orig, 6, 90.0
gson, orig, 7, 89.9
gson, orig, 8, 90.0
gson, orig, 9, 90.0
gson, orig, 10, 90.0
gson, orig, 11, 90.0
gson, orig, 12, 90.0
gson, orig, 13, 90.0
gson, orig, 14, 90.0
gson, orig, 15, 90.0
gson, orig, 16, 90.0
gson, orig, 17, 90.0
gson, orig, 18, 90.0
gson, orig, 19, 90.1
gson, orig, 20, 90.0
gson, orig, 21, 90.1
gson, orig, 22, 90.1
gson, orig, 23, 90.0
gson, orig, 24, 89.9
gson, orig, 25, 90.0
gson, orig, 26, 90.0
gson, orig, 27, 90.0
gson, orig, 28, 90.0
gson, orig, 29, 90.1
gson, cs, 0, 89.4
gson, pp, 0, 90.9
gson, pp, 1, 91.2
gson, pp, 2, 91.0
gson, pp, 3, 91.1
gson, pp, 4, 91.0
gson, pp, 5, 91.1
gson, pp, 6, 91.1
gson, pp, 7, 91.0
gson, pp, 8, 91.0
gson, pp, 9, 91.0
gson, pp, 10, 91.1
gson, pp, 11, 91.1
gson, pp, 12, 91.0
gson, pp, 13, 91.0
gson, pp, 14, 91.0
gson, pp, 15, 91.0
gson, pp, 16, 91.0
gson, pp, 17, 91.0
gson, pp, 18, 91.1
gson, pp, 19, 91.0
gson, pp, 20, 91.0
gson, pp, 21, 90.9
gson, pp, 22, 91.0
gson, pp, 23, 91.0
gson, pp, 24, 91.0
gson, pp, 25, 90.9
gson, pp, 26, 91.0
gson, pp, 27, 91.1
gson, pp, 28, 91.0
gson, pp, 29, 90.9
gson, cs+pp, 0, 91.3
commons-io, orig, 0, 88.6
commons-io, orig, 1, 88.6
commons-io, orig, 2, 88.7
commons-io, orig, 3, 88.6
commons-io, orig, 4, 88.7
commons-io, orig, 5, 88.6
commons-io, orig, 6, 88.6
commons-io, orig, 7, 88.6
commons-io, orig, 8, 88.6
commons-io, orig, 9, 88.6
commons-io, orig, 10, 88.7
commons-io, orig, 11, 88.6
commons-io, orig, 12, 88.5
commons-io, orig, 13, 88.6
commons-io, orig, 14, 88.6
commons-io, orig, 15, 88.6
commons-io, orig, 16, 88.5
commons-io, orig, 17, 88.6
commons-io, orig, 18, 88.6
commons-io, orig, 19, 88.6
commons-io, orig, 20, 88.6
commons-io, orig, 21, 88.6
commons-io, orig, 22, 88.6
commons-io, orig, 23, 88.6
commons-io, orig, 24, 88.6
commons-io, orig, 25, 88.6
commons-io, orig, 26, 88.7
commons-io, orig, 27, 88.7
commons-io, orig, 28, 88.6
commons-io, orig, 29, 88.6
commons-io, cs, 0, 88.2
commons-io, pp, 0, 90.0
commons-io, pp, 1, 90.2
commons-io, pp, 2, 89.9
commons-io, pp, 3, 90.1
commons-io, pp, 4, 89.9
commons-io, pp, 5, 90.1
commons-io, pp, 6, 90.1
commons-io, pp, 7, 90.1
commons-io, pp, 8, 90.1
commons-io, pp, 9, 90.1
commons-io, pp, 10, 90.2
commons-io, pp, 11, 90.2
commons-io, pp, 12, 90.1
commons-io, pp, 13, 90.1
commons-io, pp, 14, 89.9
commons-io, pp, 15, 90.0
commons-io, pp, 16, 90.1
commons-io, pp, 17, 90.1
commons-io, pp, 18, 90.2
commons-io, pp, 19, 90.0
commons-io, pp, 20, 89.9
commons-io, pp, 21, 90.1
commons-io, pp, 22, 90.1
commons-io, pp, 23, 89.9
commons-io, pp, 24, 90.0
commons-io, pp, 25, 90.0
commons-io, pp, 26, 89.9
commons-io, pp, 27, 90.1
commons-io, pp, 28, 90.1
commons-io, pp, 29, 90.0
commons-io, cs+pp, 0, 90.3
commons-text, orig, 0, 89.7
commons-text, orig, 1, 89.7
commons-text, orig, 2, 89.8
commons-text, orig, 3, 89.6
commons-text, orig, 4, 89.6
commons-text, orig, 5, 89.6
commons-text, orig, 6, 89.6
commons-text, orig, 7, 89.6
commons-text, orig, 8, 89.8
commons-text, orig, 9, 89.8
commons-text, orig, 10, 89.7
commons-text, orig, 11, 89.6
commons-text, orig, 12, 89.7
commons-text, orig, 13, 89.7
commons-text, orig, 14, 89.7
commons-text, orig, 15, 89.7
