project, method, run, precision
google-auto-value, orig, 0, 88.8
google-auto-value, orig, 1, 88.8
google-auto-value, orig, 2, 89.1
google-auto-value, orig, 3, 89.0
google-auto-value, orig, 4, 89.0
google-auto-value, orig, 5, 89.0
google-auto-value, orig, 6, 89.3
google-auto-value, orig, 7, 89.6
google-auto-value, orig, 8, 89.2
google-auto-value, orig, 9, 89.2
google-auto-value, orig, 10, 89.3
google-auto-value, orig, 11, 89.0
google-auto-value, orig, 12, 89.5
google-auto-value, orig, 13, 89.0
google-auto-value, orig, 14, 88.9
google-auto-value, orig, 15, 89.1
google-auto-value, orig, 16, 89.2
google-auto-value, orig, 17, 89.3
google-auto-value, orig, 18, 89.4
google-auto-value, orig, 19, 89.2
google-auto-value, orig, 20, 88.8
google-auto-value, orig, 21, 89.4
google-auto-value, orig, 22, 88.8
google-auto-value, orig, 23, 88.8
google-auto-value, orig, 24, 89.3
google-auto-value, orig, 25, 88.0
google-auto-value, orig, 26, 88.6
google-auto-value, orig, 27, 89.4
google-auto-value, orig, 28, 89.1
google-auto-value, orig, 29, 89.0
google-auto-value, cs, 0, 85.6
google-auto-value, pp, 0, 89.0
google-auto-value, pp, 1, 89.4
google-auto-value, pp, 2, 89.1
google-auto-value, pp, 3, 89.3
google-auto-value, pp, 4, 89.4
google-auto-value, pp, 5, 89.0
google-auto-value, pp, 6, 89.2
google-auto-value, pp, 7, 89.3
google-auto-value, pp, 8, 89.3
google-auto-value, pp, 9, 89.4
google-auto-value, pp, 10, 89.7
google-auto-value, pp, 11, 89.3
google-auto-value, pp, 12, 89.3
google-auto-value, pp, 13, 89.6
google-auto-value, pp, 14, 89.2
google-auto-value, pp, 15, 89.3
google-auto-value, pp, 16, 89.1
google-auto-value, pp, 17, 89.4
google-auto-value, pp, 18, 89.5
google-auto-value, pp, 19, 89.1
google-auto-value, pp, 20, 89.3
google-auto-value, pp, 21, 89.4
google-auto-value, pp, 22, 89.2
google-auto-value, pp, 23, 89.2
google-auto-value, pp, 24, 89.4
google-auto-value, pp, 25, 88.6
google-auto-value, pp, 26, 89.0
google-auto-value, pp, 27, 89.3
google-auto-value, pp, 28, 89.4
google-auto-value, pp, 29, 89.1
google-auto-value, cs+pp, 0, 87.7
gson, orig, 0, 85.3
gson, orig, 1, 86.0
gson, orig, 2, 85.5
gson, orig, 3, 85.6
gson, orig, 4, 85.5
gson, orig, 5, 85.7
gson, orig, 6, 85.8
gson, orig, 7, 85.7
gson, orig, 8, 85.5
gson, orig, 9, 85.7
gson, orig, 10, 85.8
gson, orig, 11, 85.7
gson, orig, 12, 85.6
gson, orig, 13, 85.3
gson, orig, 14, 85.5
gson, orig, 15, 85.5
gson, orig, 16, 85.7
gson, orig, 17, 85.6
gson, orig, 18, 85.7
gson, orig, 19, 85.8
gson, orig, 20, 85.7
gson, orig, 21, 85.1
gson, orig, 22, 85.5
gson, orig, 23, 86.0
gson, orig, 24, 85.5
gson, orig, 25, 85.0
gson, orig, 26, 85.5
gson, orig, 27, 85.6
gson, orig, 28, 85.6
gson, orig, 29, 85.6
gson, cs, 0, 83.0
gson, pp, 0, 85.9
gson, pp, 1, 86.4
gson, pp, 2, 86.0
gson, pp, 3, 86.0
gson, pp, 4, 86.3
gson, pp, 5, 86.0
gson, pp, 6, 86.2
gson, pp, 7, 86.0
gson, pp, 8, 86.0
gson, pp, 9, 86.1
gson, pp, 10, 86.1
gson, pp, 11, 85.9
gson, pp, 12, 86.1
gson, pp, 13, 85.4
gson, pp, 14, 86.1
gson, pp, 15, 86.0
gson, pp, 16, 85.9
gson, pp, 17, 86.1
gson, pp, 18, 85.8
gson, pp, 19, 86.1
gson, pp, 20, 85.8
gson, pp, 21, 85.6
gson, pp, 22, 86.2
gson, pp, 23, 86.5
gson, pp, 24, 85.7
gson, pp, 25, 85.6
gson, pp, 26, 85.8
gson, pp, 27, 86.0
gson, pp, 28, 85.9
gson, pp, 29, 86.3
gson, cs+pp, 0, 84.3
commons-io, orig, 0, 83.6
commons-io, orig, 1, 83.7
commons-io, orig, 2, 83.9
commons-io, orig, 3, 83.6
commons-io, orig, 4, 83.6
commons-io, orig, 5, 84.1
commons-io, orig, 6, 83.8
commons-io, orig, 7, 83.7
commons-io, orig, 8, 84.0
commons-io, orig, 9, 84.2
commons-io, orig, 10, 83.6
commons-io, orig, 11, 83.7
commons-io, orig, 12, 83.7
commons-io, orig, 13, 83.9
commons-io, orig, 14, 84.0
commons-io, orig, 15, 84.0
commons-io, orig, 16, 84.0
commons-io, orig, 17, 83.9
commons-io, orig, 18, 84.0
commons-io, orig, 19, 84.1
commons-io, orig, 20, 83.5
commons-io, orig, 21, 83.9
commons-io, orig, 22, 83.8
commons-io, orig, 23, 83.6
commons-io, orig, 24, 83.9
commons-io, orig, 25, 83.3
commons-io, orig, 26, 83.8
commons-io, orig, 27, 84.0
commons-io, orig, 28, 83.4
commons-io, orig, 29, 84.3
commons-io, cs, 0, 82.4
commons-io, pp, 0, 83.7
commons-io, pp, 1, 83.8
commons-io, pp, 2, 83.6
commons-io, pp, 3, 84.1
commons-io, pp, 4, 83.5
commons-io, pp, 5, 84.4
commons-io, pp, 6, 84.1
commons-io, pp, 7, 84.1
commons-io, pp, 8, 84.3
commons-io, pp, 9, 84.6
commons-io, pp, 10, 84.4
commons-io, pp, 11, 84.2
commons-io, pp, 12, 84.1
commons-io, pp, 13, 83.9
commons-io, pp, 14, 83.9
commons-io, pp, 15, 84.1
commons-io, pp, 16, 84.4
commons-io, pp, 17, 84.4
commons-io, pp, 18, 84.3
commons-io, pp, 19, 84.1
commons-io, pp, 20, 83.7
commons-io, pp, 21, 84.2
commons-io, pp, 22, 84.1
commons-io, pp, 23, 83.6
commons-io, pp, 24, 83.9
commons-io, pp, 25, 83.4
commons-io, pp, 26, 83.8
commons-io, pp, 27, 84.1
commons-io, pp, 28, 83.9
commons-io, pp, 29, 84.2
commons-io, cs+pp, 0, 83.2
commons-text, orig, 0, 83.9
commons-text, orig, 1, 84.1
commons-text, orig, 2, 83.8
commons-text, orig, 3, 83.6
commons-text, orig, 4, 83.8
commons-text, orig, 5, 84.0
commons-text, orig, 6, 83.6
commons-text, orig, 7, 83.9
commons-text, orig, 8, 83.9
commons-text, orig, 9, 84.0
commons-text, orig, 10, 83.8
commons-text, orig, 11, 83.7
commons-text, orig, 12, 83.7
commons-text, orig, 13, 84.1
commons-text, orig, 14, 83.5
commons-text, orig, 15, 83.7
commons-text, orig, 16, 84.0
commons-text, orig, 17, 84.0
commons-text, orig, 18, 83.9
commons-text, orig, 19, 83.6
commons-text, orig, 20, 83.5
commons-text, orig, 21, 84.1
commons-text, orig, 22, 83.8
commons-text, orig, 23, 83.8
commons-text, orig, 24, 83.7
commons-text, orig, 25, 83.7
commons-text, orig, 26, 83.6
commons-text, orig, 27, 84.2
commons-text, orig, 28, 83.6
commons-text, orig, 29, 83.8
commons-text, cs, 0, 82.7
commons-text, pp, 0, 84.7
commons-text, pp, 1, 84.7
commons-text, pp, 2, 84.6
commons-text, pp, 3, 84.5
commons-text, pp, 4, 84.7
commons-text, pp, 5, 85.1
commons-text, pp, 6, 84.5
commons-text, pp, 7, 84.5
commons-text, pp, 8, 84.8
commons-text, pp, 9, 84.6
commons-text, pp, 10, 84.6
commons-text, pp, 11, 84.6
commons-text, pp, 12, 84.6
commons-text, pp, 13, 85.0
commons-text, pp, 14, 84.7
commons-text, pp, 15, 84.5
commons-text, pp, 16, 84.8
commons-text, pp, 17, 85.0
commons-text, pp, 18, 84.8
commons-text, pp, 19, 84.7
commons-text, pp, 20, 84.8
commons-text, pp, 21, 84.5
commons-text, pp, 22, 84.6
commons-text, pp, 23, 84.7
commons-text, pp, 24, 84.6
