project, method, run, precision
google-auto-factory, orig, 29, 87.2
google-auto-factory, cs, 0, 85.2
google-auto-factory, pp, 0, 86.6
google-auto-factory, pp, 1, 86.1
google-auto-factory, pp, 2, 85.3
google-auto-factory, pp, 3, 85.2
google-auto-factory, pp, 4, 85.3
google-auto-factory, pp, 5, 86.7
google-auto-factory, pp, 6, 86.2
google-auto-factory, pp, 7, 86.4
google-auto-factory, pp, 8, 86.7
google-auto-factory, pp, 9, 86.3
google-auto-factory, pp, 10, 86.5
google-auto-factory, pp, 11, 86.4
google-auto-factory, pp, 12, 85.4
google-auto-factory, pp, 13, 86.0
google-auto-factory, pp, 14, 85.4
google-auto-factory, pp, 15, 85.0
google-auto-factory, pp, 16, 86.0
google-auto-factory, pp, 17, 86.3
google-auto-factory, pp, 18, 85.2
google-auto-factory, pp, 19, 84.6
google-auto-factory, pp, 20, 85.5
google-auto-factory, pp, 21, 86.0
google-auto-factory, pp, 22, 84.9
google-auto-factory, pp, 23, 85.5
google-auto-factory, pp, 24, 85.4
google-auto-factory, pp, 25, 86.8
google-auto-factory, pp, 26, 86.5
google-auto-factory, pp, 27, 84.9
google-auto-factory, pp, 28, 85.4
google-auto-factory, pp, 29, 86.8
google-auto-factory, cs+pp, 0, 86.0
commons-csv, orig, 0, 82.0
commons-csv, orig, 1, 82.2
commons-csv, orig, 2, 83.2
commons-csv, orig, 3, 82.2
commons-csv, orig, 4, 82.6
commons-csv, orig, 5, 82.5
commons-csv, orig, 6, 82.2
commons-csv, orig, 7, 83.5
commons-csv, orig, 8, 80.7
commons-csv, orig, 9, 82.7
commons-csv, orig, 10, 81.9
commons-csv, orig, 11, 80.5
commons-csv, orig, 12, 82.2
commons-csv, orig, 13, 83.3
commons-csv, orig, 14, 81.9
commons-csv, orig, 15, 82.3
commons-csv, orig, 16, 82.0
commons-csv, orig, 17, 80.6
commons-csv, orig, 18, 82.2
commons-csv, orig, 19, 82.3
commons-csv, orig, 20, 82.5
commons-csv, orig, 21, 83.5
commons-csv, orig, 22, 80.8
commons-csv, orig, 23, 82.2
commons-csv, orig, 24, 82.3
commons-csv, orig, 25, 82.9
commons-csv, orig, 26, 82.5
commons-csv, orig, 27, 82.1
commons-csv, orig, 28, 82.6
commons-csv, orig, 29, 82.5
