project, method, run, precision
commons-cli, 3D-Clus, 15, 81.7
commons-cli, orig, 16, 80.8
commons-cli, 3-Proj, 16, 81.2
commons-cli, 3D-Clus, 16, 82.3
commons-cli, orig, 17, 80.9
commons-cli, 3-Proj, 17, 80.5
commons-cli, 3D-Clus, 17, 81.8
commons-cli, orig, 18, 81.2
commons-cli, 3-Proj, 18, 80.4
commons-cli, 3D-Clus, 18, 81.0
commons-cli, orig, 19, 80.7
commons-cli, 3-Proj, 19, 81.2
commons-cli, 3D-Clus, 19, 81.9
commons-cli, orig, 20, 80.9
commons-cli, 3-Proj, 20, 81.1
commons-cli, 3D-Clus, 20, 80.9
commons-cli, orig, 21, 80.9
commons-cli, 3-Proj, 21, 81.0
commons-cli, 3D-Clus, 21, 82.3
commons-cli, orig, 22, 81.0
commons-cli, 3-Proj, 22, 81.4
commons-cli, 3D-Clus, 22, 81.3
commons-cli, orig, 23, 80.6
commons-cli, 3-Proj, 23, 81.3
commons-cli, 3D-Clus, 23, 82.1
commons-cli, orig, 24, 80.9
commons-cli, 3-Proj, 24, 80.6
commons-cli, 3D-Clus, 24, 82.3
commons-cli, orig, 25, 80.6
commons-cli, 3-Proj, 25, 80.4
commons-cli, 3D-Clus, 25, 81.9
commons-cli, orig, 26, 80.6
commons-cli, 3-Proj, 26, 81.0
commons-cli, 3D-Clus, 26, 81.9
commons-cli, orig, 27, 80.9
commons-cli, 3-Proj, 27, 81.5
commons-cli, 3D-Clus, 27, 81.7
commons-cli, orig, 28, 80.8
commons-cli, 3-Proj, 28, 81.4
commons-cli, 3D-Clus, 28, 81.2
commons-cli, orig, 29, 80.9
commons-cli, 3-Proj, 29, 81.3
commons-cli, 3D-Clus, 29, 81.4
google-auto-value, cs, 0, 73.0
google-auto-value, orig, 0, 78.7
google-auto-value, 3-Proj, 0, 79.0
google-auto-value, 3D-Clus, 0, 83.4
google-auto-value, orig, 1, 79.0
google-auto-value, 3-Proj, 1, 77.0
google-auto-value, 3D-Clus, 1, 83.6
google-auto-value, orig, 2, 77.6
google-auto-value, 3-Proj, 2, 76.4
google-auto-value, 3D-Clus, 2, 82.7
google-auto-value, orig, 3, 78.6
google-auto-value, 3-Proj, 3, 77.6
google-auto-value, 3D-Clus, 3, 83.4
google-auto-value, orig, 4, 79.1
google-auto-value, 3-Proj, 4, 77.1
google-auto-value, 3D-Clus, 4, 82.9
google-auto-value, orig, 5, 77.0
google-auto-value, 3-Proj, 5, 76.5
google-auto-value, 3D-Clus, 5, 82.8
google-auto-value, orig, 6, 78.8
google-auto-value, 3-Proj, 6, 78.3
google-auto-value, 3D-Clus, 6, 83.7
google-auto-value, orig, 7, 78.5
google-auto-value, 3-Proj, 7, 79.1
google-auto-value, 3D-Clus, 7, 83.4
google-auto-value, orig, 8, 79.2
google-auto-value, 3-Proj, 8, 79.0
google-auto-value, 3D-Clus, 8, 83.4
google-auto-value, orig, 9, 79.9
google-auto-value, 3-Proj, 9, 76.5
google-auto-value, 3D-Clus, 9, 81.8
google-auto-value, orig, 10, 78.6
google-auto-value, 3-Proj, 10, 77.3
google-auto-value, 3D-Clus, 10, 83.1
google-auto-value, orig, 11, 77.8
google-auto-value, 3-Proj, 11, 78.0
google-auto-value, 3D-Clus, 11, 81.9
google-auto-value, orig, 12, 80.4
google-auto-value, 3-Proj, 12, 78.1
google-auto-value, 3D-Clus, 12, 83.5
google-auto-value, orig, 13, 80.0
google-auto-value, 3-Proj, 13, 78.8
google-auto-value, 3D-Clus, 13, 82.7
google-auto-value, orig, 14, 77.5
google-auto-value, 3-Proj, 14, 78.4
google-auto-value, 3D-Clus, 14, 83.6
google-auto-value, orig, 15, 78.9
google-auto-value, 3-Proj, 15, 78.4
google-auto-value, 3D-Clus, 15, 82.9
google-auto-value, orig, 16, 78.8
google-auto-value, 3-Proj, 16, 75.9
google-auto-value, 3D-Clus, 16, 82.7
google-auto-value, orig, 17, 79.2
google-auto-value, 3-Proj, 17, 77.8
google-auto-value, 3D-Clus, 17, 81.9
google-auto-value, orig, 18, 78.4
google-auto-value, 3-Proj, 18, 77.7
google-auto-value, 3D-Clus, 18, 82.2
google-auto-value, orig, 19, 78.9
google-auto-value, 3-Proj, 19, 76.6
google-auto-value, 3D-Clus, 19, 83.1
google-auto-value, orig, 20, 78.5
google-auto-value, 3-Proj, 20, 79.4
google-auto-value, 3D-Clus, 20, 83.7
google-auto-value, orig, 21, 78.7
google-auto-value, 3-Proj, 21, 79.1
google-auto-value, 3D-Clus, 21, 82.6
google-auto-value, orig, 22, 78.6
google-auto-value, 3-Proj, 22, 79.0
google-auto-value, 3D-Clus, 22, 83.2
google-auto-value, orig, 23, 79.0
google-auto-value, 3-Proj, 23, 77.1
google-auto-value, 3D-Clus, 23, 83.1
google-auto-value, orig, 24, 78.2
google-auto-value, 3-Proj, 24, 76.4
google-auto-value, 3D-Clus, 24, 82.4
google-auto-value, orig, 25, 77.8
google-auto-value, 3-Proj, 25, 76.4
google-auto-value, 3D-Clus, 25, 82.9
google-auto-value, orig, 26, 79.1
google-auto-value, 3-Proj, 26, 76.8
google-auto-value, 3D-Clus, 26, 83.2
google-auto-value, orig, 27, 79.0
google-auto-value, 3-Proj, 27, 79.3
google-auto-value, 3D-Clus, 27, 81.8
google-auto-value, orig, 28, 79.7
google-auto-value, 3-Proj, 28, 79.1
google-auto-value, 3D-Clus, 28, 82.4
google-auto-value, orig, 29, 77.7
google-auto-value, 3-Proj, 29, 77.4
google-auto-value, 3D-Clus, 29, 82.1
gson, cs, 0, 81.1
gson, orig, 0, 72.2
gson, 3-Proj, 0, 72.6
gson, 3D-Clus, 0, 70.3
gson, orig, 1, 72.4
gson, 3-Proj, 1, 68.4
gson, 3D-Clus, 1, 70.4
gson, orig, 2, 72.5
gson, 3-Proj, 2, 69.7
gson, 3D-Clus, 2, 69.8
gson, orig, 3, 72.4
gson, 3-Proj, 3, 70.7
gson, 3D-Clus, 3, 69.3
gson, orig, 4, 72.4
gson, 3-Proj, 4, 72.2
gson, 3D-Clus, 4, 68.9
gson, orig, 5, 72.4
gson, 3-Proj, 5, 72.9
gson, 3D-Clus, 5, 70.2
gson, orig, 6, 73.4
gson, 3-Proj, 6, 71.7
gson, 3D-Clus, 6, 70.1
gson, orig, 7, 57.1
gson, 3-Proj, 7, 46.5
gson, 3D-Clus, 7, 68.8
gson, orig, 8, 72.9
gson, 3-Proj, 8, 58.4
gson, 3D-Clus, 8, 70.0
gson, orig, 9, 69.3
gson, 3-Proj, 9, 73.6
gson, 3D-Clus, 9, 69.1
gson, orig, 10, 69.9
gson, 3-Proj, 10, 71.9
gson, 3D-Clus, 10, 69.2
gson, orig, 11, 72.9
gson, 3-Proj, 11, 71.0
gson, 3D-Clus, 11, 68.6
gson, orig, 12, 71.4
gson, 3-Proj, 12, 66.2
gson, 3D-Clus, 12, 70.2
gson, orig, 13, 72.1
gson, 3-Proj, 13, 73.2
gson, 3D-Clus, 13, 69.4
gson, orig, 14, 58.5
gson, 3-Proj, 14, 70.3
gson, 3D-Clus, 14, 69.9
gson, orig, 15, 72.3
gson, 3-Proj, 15, 73.3
gson, 3D-Clus, 15, 70.3
gson, orig, 16, 72.6
gson, 3-Proj, 16, 72.4
gson, 3D-Clus, 16, 69.8
gson, orig, 17, 71.6
gson, 3-Proj, 17, 59.2
gson, 3D-Clus, 17, 69.3
gson, orig, 18, 71.4
gson, 3-Proj, 18, 72.0
gson, 3D-Clus, 18, 69.3
gson, orig, 19, 72.1
gson, 3-Proj, 19, 73.8
gson, 3D-Clus, 19, 69.0
gson, orig, 20, 67.5
gson, 3-Proj, 20, 71.6
gson, 3D-Clus, 20, 70.0
gson, orig, 21, 70.1
gson, 3-Proj, 21, 71.7
gson, 3D-Clus, 21, 70.5
gson, orig, 22, 72.8
gson, 3-Proj, 22, 71.5
gson, 3D-Clus, 22, 69.3
gson, orig, 23, 72.6
gson, 3-Proj, 23, 72.4
gson, 3D-Clus, 23, 69.9
gson, orig, 24, 72.8
gson, 3-Proj, 24, 73.4
gson, 3D-Clus, 24, 69.6
gson, orig, 25, 71.7
gson, 3-Proj, 25, 71.2
gson, 3D-Clus, 25, 70.1
gson, orig, 26, 72.4
gson, 3-Proj, 26, 72.6
gson, 3D-Clus, 26, 67.7
gson, orig, 27, 72.7
gson, 3-Proj, 27, 71.4
gson, 3D-Clus, 27, 69.6
gson, orig, 28, 73.0
gson, 3-Proj, 28, 72.5
gson, 3D-Clus, 28, 69.9
gson, orig, 29, 72.2
gson, 3-Proj, 29, 72.1
gson, 3D-Clus, 29, 70.0
commons-io, cs, 0, 86.9
commons-io, orig, 0, 70.1
commons-io, 3-Proj, 0, 69.7
commons-io, 3D-Clus, 0, 75.5
commons-io, orig, 1, 70.4
commons-io, 3-Proj, 1, 69.7
commons-io, 3D-Clus, 1, 76.6
commons-io, orig, 2, 69.4
commons-io, 3-Proj, 2, 70.1
commons-io, 3D-Clus, 2, 77.5
commons-io, orig, 3, 69.7
commons-io, 3-Proj, 3, 70.8
commons-io, 3D-Clus, 3, 76.0
commons-io, orig, 4, 70.3
commons-io, 3-Proj, 4, 70.1
commons-io, 3D-Clus, 4, 77.5
commons-io, orig, 5, 69.8
commons-io, 3-Proj, 5, 68.0
commons-io, 3D-Clus, 5, 77.2
commons-io, orig, 6, 69.0
commons-io, 3-Proj, 6, 70.7
commons-io, 3D-Clus, 6, 77.2
commons-io, orig, 7, 69.8
commons-io, 3-Proj, 7, 70.7
commons-io, 3D-Clus, 7, 76.8
commons-io, orig, 8, 70.2
commons-io, 3-Proj, 8, 70.1
commons-io, 3D-Clus, 8, 76.5
commons-io, orig, 9, 70.3
commons-io, 3-Proj, 9, 66.6
commons-io, 3D-Clus, 9, 76.8
