project, method, run, reduction
commons-codec, orig, 24, 0.104
commons-codec, 3-Proj, 24, 0.104
commons-codec, 3D-Clus, 24, 0.104
commons-codec, orig, 25, 0.104
commons-codec, 3-Proj, 25, 0.104
commons-codec, 3D-Clus, 25, 0.104
commons-codec, orig, 26, 0.104
commons-codec, 3-Proj, 26, 0.104
commons-codec, 3D-Clus, 26, 0.104
commons-codec, orig, 27, 0.104
commons-codec, 3-Proj, 27, 0.104
commons-codec, 3D-Clus, 27, 0.104
commons-codec, orig, 28, 0.104
commons-codec, 3-Proj, 28, 0.104
commons-codec, 3D-Clus, 28, 0.104
commons-codec, orig, 29, 0.104
commons-codec, 3-Proj, 29, 0.104
commons-codec, 3D-Clus, 29, 0.104
google-auto-common, cs, 0, 0.100
google-auto-common, orig, 0, 0.153
google-auto-common, 3-Proj, 0, 0.153
google-auto-common, 3D-Clus, 0, 0.153
google-auto-common, orig, 1, 0.153
google-auto-common, 3-Proj, 1, 0.153
google-auto-common, 3D-Clus, 1, 0.153
google-auto-common, orig, 2, 0.153
google-auto-common, 3-Proj, 2, 0.153
google-auto-common, 3D-Clus, 2, 0.153
google-auto-common, orig, 3, 0.153
google-auto-common, 3-Proj, 3, 0.153
google-auto-common, 3D-Clus, 3, 0.153
google-auto-common, orig, 4, 0.153
google-auto-common, 3-Proj, 4, 0.153
google-auto-common, 3D-Clus, 4, 0.153
google-auto-common, orig, 5, 0.153
google-auto-common, 3-Proj, 5, 0.153
google-auto-common, 3D-Clus, 5, 0.153
google-auto-common, orig, 6, 0.153
google-auto-common, 3-Proj, 6, 0.153
google-auto-common, 3D-Clus, 6, 0.153
google-auto-common, orig, 7, 0.153
google-auto-common, 3-Proj, 7, 0.153
google-auto-common, 3D-Clus, 7, 0.153
google-auto-common, orig, 8, 0.153
google-auto-common, 3-Proj, 8, 0.153
google-auto-common, 3D-Clus, 8, 0.153
google-auto-common, orig, 9, 0.153
google-auto-common, 3-Proj, 9, 0.153
google-auto-common, 3D-Clus, 9, 0.153
google-auto-common, orig, 10, 0.153
google-auto-common, 3-Proj, 10, 0.153
google-auto-common, 3D-Clus, 10, 0.153
google-auto-common, orig, 11, 0.153
google-auto-common, 3-Proj, 11, 0.153
google-auto-common, 3D-Clus, 11, 0.153
google-auto-common, orig, 12, 0.153
google-auto-common, 3-Proj, 12, 0.153
google-auto-common, 3D-Clus, 12, 0.153
google-auto-common, orig, 13, 0.153
google-auto-common, 3-Proj, 13, 0.153
google-auto-common, 3D-Clus, 13, 0.153
google-auto-common, orig, 14, 0.153
google-auto-common, 3-Proj, 14, 0.153
google-auto-common, 3D-Clus, 14, 0.153
google-auto-common, orig, 15, 0.153
google-auto-common, 3-Proj, 15, 0.153
google-auto-common, 3D-Clus, 15, 0.153
google-auto-common, orig, 16, 0.153
google-auto-common, 3-Proj, 16, 0.153
google-auto-common, 3D-Clus, 16, 0.153
google-auto-common, orig, 17, 0.153
google-auto-common, 3-Proj, 17, 0.153
google-auto-common, 3D-Clus, 17, 0.153
google-auto-common, orig, 18, 0.153
google-auto-common, 3-Proj, 18, 0.153
google-auto-common, 3D-Clus, 18, 0.153
google-auto-common, orig, 19, 0.153
google-auto-common, 3-Proj, 19, 0.153
google-auto-common, 3D-Clus, 19, 0.153
google-auto-common, orig, 20, 0.153
google-auto-common, 3-Proj, 20, 0.153
google-auto-common, 3D-Clus, 20, 0.153
