project, method, run, precision
commons-codec, 3-Proj, 17, 85.5
commons-codec, 3D-Clus, 17, 86.7
commons-codec, orig, 18, 85.0
commons-codec, 3-Proj, 18, 84.9
commons-codec, 3D-Clus, 18, 87.0
commons-codec, orig, 19, 85.3
commons-codec, 3-Proj, 19, 85.8
commons-codec, 3D-Clus, 19, 87.0
commons-codec, orig, 20, 84.9
commons-codec, 3-Proj, 20, 84.8
commons-codec, 3D-Clus, 20, 87.0
commons-codec, orig, 21, 85.1
commons-codec, 3-Proj, 21, 85.2
commons-codec, 3D-Clus, 21, 87.4
commons-codec, orig, 22, 84.3
commons-codec, 3-Proj, 22, 85.0
commons-codec, 3D-Clus, 22, 87.2
commons-codec, orig, 23, 84.9
commons-codec, 3-Proj, 23, 85.0
commons-codec, 3D-Clus, 23, 87.3
commons-codec, orig, 24, 84.9
commons-codec, 3-Proj, 24, 83.7
commons-codec, 3D-Clus, 24, 87.1
commons-codec, orig, 25, 85.1
commons-codec, 3-Proj, 25, 85.3
commons-codec, 3D-Clus, 25, 86.8
commons-codec, orig, 26, 85.0
commons-codec, 3-Proj, 26, 84.7
commons-codec, 3D-Clus, 26, 87.1
commons-codec, orig, 27, 85.1
commons-codec, 3-Proj, 27, 85.2
commons-codec, 3D-Clus, 27, 87.3
commons-codec, orig, 28, 85.1
commons-codec, 3-Proj, 28, 84.8
commons-codec, 3D-Clus, 28, 87.3
commons-codec, orig, 29, 85.0
commons-codec, 3-Proj, 29, 85.3
commons-codec, 3D-Clus, 29, 87.1
google-auto-common, cs, 0, 76.5
google-auto-common, orig, 0, 72.8
google-auto-common, 3-Proj, 0, 74.3
google-auto-common, 3D-Clus, 0, 76.2
google-auto-common, orig, 1, 74.4
google-auto-common, 3-Proj, 1, 76.0
google-auto-common, 3D-Clus, 1, 77.1
google-auto-common, orig, 2, 75.5
google-auto-common, 3-Proj, 2, 75.8
google-auto-common, 3D-Clus, 2, 78.2
google-auto-common, orig, 3, 75.9
google-auto-common, 3-Proj, 3, 76.4
google-auto-common, 3D-Clus, 3, 76.6
google-auto-common, orig, 4, 75.9
google-auto-common, 3-Proj, 4, 60.1
google-auto-common, 3D-Clus, 4, 77.2
google-auto-common, orig, 5, 72.1
google-auto-common, 3-Proj, 5, 75.1
google-auto-common, 3D-Clus, 5, 76.9
google-auto-common, orig, 6, 75.2
google-auto-common, 3-Proj, 6, 74.3
google-auto-common, 3D-Clus, 6, 77.8
google-auto-common, orig, 7, 74.2
google-auto-common, 3-Proj, 7, 66.5
google-auto-common, 3D-Clus, 7, 77.6
google-auto-common, orig, 8, 74.9
google-auto-common, 3-Proj, 8, 75.4
google-auto-common, 3D-Clus, 8, 78.1
google-auto-common, orig, 9, 74.6
google-auto-common, 3-Proj, 9, 69.6
google-auto-common, 3D-Clus, 9, 77.4
google-auto-common, orig, 10, 73.8
google-auto-common, 3-Proj, 10, 75.0
google-auto-common, 3D-Clus, 10, 75.4
google-auto-common, orig, 11, 76.1
google-auto-common, 3-Proj, 11, 74.5
google-auto-common, 3D-Clus, 11, 77.2
google-auto-common, orig, 12, 75.2
google-auto-common, 3-Proj, 12, 68.0
google-auto-common, 3D-Clus, 12, 78.6
google-auto-common, orig, 13, 75.0
google-auto-common, 3-Proj, 13, 75.0
google-auto-common, 3D-Clus, 13, 77.0
google-auto-common, orig, 14, 73.2
google-auto-common, 3-Proj, 14, 74.2
google-auto-common, 3D-Clus, 14, 76.5
google-auto-common, orig, 15, 74.8
google-auto-common, 3-Proj, 15, 75.2
google-auto-common, 3D-Clus, 15, 77.9
google-auto-common, orig, 16, 75.9
google-auto-common, 3-Proj, 16, 77.0
google-auto-common, 3D-Clus, 16, 77.7
google-auto-common, orig, 17, 74.9
google-auto-common, 3-Proj, 17, 74.8
google-auto-common, 3D-Clus, 17, 77.2
google-auto-common, orig, 18, 74.8
google-auto-common, 3-Proj, 18, 73.2
google-auto-common, 3D-Clus, 18, 76.0
google-auto-common, orig, 19, 74.3
google-auto-common, 3-Proj, 19, 72.3
google-auto-common, 3D-Clus, 19, 77.9
google-auto-common, orig, 20, 74.6
google-auto-common, 3-Proj, 20, 76.3
google-auto-common, 3D-Clus, 20, 76.8
google-auto-common, orig, 21, 73.1
google-auto-common, 3-Proj, 21, 70.0
google-auto-common, 3D-Clus, 21, 75.8
google-auto-common, orig, 22, 72.8
google-auto-common, 3-Proj, 22, 73.5
google-auto-common, 3D-Clus, 22, 78.1
google-auto-common, orig, 23, 74.9
google-auto-common, 3-Proj, 23, 70.2
google-auto-common, 3D-Clus, 23, 77.7
google-auto-common, orig, 24, 76.7
google-auto-common, 3-Proj, 24, 75.9
google-auto-common, 3D-Clus, 24, 76.5
google-auto-common, orig, 25, 75.8
google-auto-common, 3-Proj, 25, 71.0
google-auto-common, 3D-Clus, 25, 76.8
google-auto-common, orig, 26, 72.2
google-auto-common, 3-Proj, 26, 71.8
google-auto-common, 3D-Clus, 26, 76.9
google-auto-common, orig, 27, 75.7
google-auto-common, 3-Proj, 27, 74.3
google-auto-common, 3D-Clus, 27, 77.7
